,precision,recall
0,1.0,0.009610880195268137
1,0.9923575601621257,0.019074859243173568
2,0.9852489130874942,0.02840732779860617
3,0.9781246203629055,0.03760255416940005
4,0.9711564160049477,0.046668339825447686
5,0.9642174782157332,0.055601871991889866
6,0.9567359650631322,0.06436552317108205
7,0.9489595182612345,0.07296268992134473
8,0.9416429527697708,0.08145015845209921
9,0.9347791754558407,0.08984050664337619
10,0.9276428012774882,0.09807010209788955
11,0.920631458432269,0.1061769438118502
12,0.9135863142898163,0.11414479199078811
13,0.9067473245938573,0.12200495865672062
14,0.8997978950158482,0.12971774653427662
15,0.8927010972202282,0.13727429272908845
16,0.8856654879916117,0.14470442326890823
17,0.8787787312420928,0.15202506787411485
18,0.8721155573174268,0.15925416461833855
19,0.8654151987365678,0.16634803588442637
20,0.8589730037596891,0.1733652192321836
21,0.85255171347477,0.18026299232648482
22,0.8462371931751994,0.1870609384488969
23,0.8400991566074341,0.1937782163111965
24,0.8340278529382531,0.20039354435265658
25,0.8281009607420201,0.20692825720522795
26,0.8223646078627469,0.21339848852093313
27,0.8167948295202649,0.2198032830177444
28,0.8111190492420968,0.2260714721846021
29,0.8056604120880132,0.2322931709594476
30,0.8004085919378173,0.2384715636157064
31,0.7953150366660409,0.24459768111656335
32,0.7902801859807613,0.2506445102091256
33,0.7854026410723323,0.2566459634053745
34,0.7806124364773465,0.26258304120720477
35,0.7758565839962794,0.26843992838993636
36,0.771099315601066,0.2742048962131188
37,0.7664382498650018,0.2799135554678937
38,0.7618965699354889,0.2855773695385929
39,0.7574863054546258,0.29120440525122776
40,0.7529115050612443,0.2966818331840882
41,0.7483643064612064,0.30208246705617053
42,0.7437644486828247,0.30737393342098224
43,0.7392617294684729,0.31261806025420164
44,0.7347705243317467,0.31778061661650464
45,0.7303678704453752,0.3228959926608866
46,0.726087944452969,0.3279821795322016
47,0.7218703868340935,0.33301487060996826
48,0.7176410582124111,0.3379609494505616
49,0.7135003920615812,0.34286833936903516
