,precs_all_hard
0,1.0
1,0.9923575601621257
2,0.9852489130874942
3,0.9781246203629055
4,0.9711564160049477
5,0.9642174782157332
6,0.9567359650631322
7,0.9489595182612345
8,0.9416429527697708
9,0.9347791754558407
10,0.9276428012774882
11,0.920631458432269
12,0.9135863142898163
13,0.9067473245938573
14,0.8997978950158482
15,0.8927010972202282
16,0.8856654879916117
17,0.8787787312420928
18,0.8721155573174268
19,0.8654151987365678
20,0.8589730037596891
21,0.85255171347477
22,0.8462371931751994
23,0.8400991566074341
24,0.8340278529382531
25,0.8281009607420201
26,0.8223646078627469
27,0.8167948295202649
28,0.8111190492420968
29,0.8056604120880132
30,0.8004085919378173
31,0.7953150366660409
32,0.7902801859807613
33,0.7854026410723323
34,0.7806124364773465
35,0.7758565839962794
36,0.771099315601066
37,0.7664382498650018
38,0.7618965699354889
39,0.7574863054546258
40,0.7529115050612443
41,0.7483643064612064
42,0.7437644486828247
43,0.7392617294684729
44,0.7347705243317467
45,0.7303678704453752
46,0.726087944452969
47,0.7218703868340935
48,0.7176410582124111
49,0.7135003920615812
