,precision,recall
0,1.0,0.023639886538262968
1,0.9760191846522782,0.046145965568695574
2,0.9553785542994176,0.06775512187418381
3,0.936418722165125,0.088547329377155
4,0.9179627726390316,0.10850267895767995
5,0.8994685204217578,0.12758000260505772
6,0.8819536207768479,0.1459449846902242
7,0.8650972079479273,0.1636063987236567
8,0.8498407623107863,0.18081125276956106
9,0.8358427543679342,0.19759227877087168
10,0.8225082271844861,0.2138840128417198
11,0.8105515587529976,0.22993616258799662
12,0.7983316643388586,0.24534210954335228
13,0.7864942739685803,0.26029689559455044
14,0.774599368124548,0.2746716176261175
15,0.7632135363138061,0.2886765024467971
16,0.7522763301963471,0.30232336055146236
17,0.7423394617639222,0.3158787716815378
18,0.7329632534573844,0.32921619482052433
19,0.7239544079022496,0.34228400123369057
20,0.7150782775140432,0.35499175627457846
21,0.7069325059432973,0.3676596930756081
22,0.6987192854412122,0.37990582648830795
23,0.6907212325377793,0.39188571760229407
24,0.6828360169007651,0.4035541490943375
25,0.6752449688600768,0.41503057568401325
26,0.6676246304543667,0.42612940388045617
27,0.6603003311636405,0.43706389747680585
28,0.65348115596193,0.44799839107315553
29,0.646634121274409,0.45859071776089216
30,0.6402288307602766,0.46918304444862874
31,0.6342238709032774,0.4797753711363653
32,0.6285573272983345,0.4903477887041727
33,0.6232043776743311,0.5009043464645789
34,0.6181573108859851,0.5114609042249852
35,0.6129632008678771,0.5216536987432958
36,0.6079260144008345,0.5317381741514834
37,0.6026355607243529,0.5413569786189549
38,0.59743670265253,0.5508100987154906
39,0.5921316518214,0.5599170025908852
40,0.5870853839576422,0.5690239064662796
41,0.5822794145635872,0.5781308103416742
42,0.5776969786297208,0.5872377142170688
43,0.5730133425726951,0.5960226977464901
44,0.5684385824673595,0.6047020617074736
45,0.5640627249752993,0.6133814256684571
46,0.5598730741850289,0.6220607896294407
47,0.5556539887137909,0.6305086678909089
48,0.5516071108128074,0.638956546152377
49,0.5477221080278635,0.6474044244138452
