,precs_all_hard
0,1.0
1,0.9760191846522782
2,0.9553785542994176
3,0.936418722165125
4,0.9179627726390316
5,0.8994685204217578
6,0.8819536207768479
7,0.8650972079479273
8,0.8498407623107863
9,0.8358427543679342
10,0.8225082271844861
11,0.8105515587529976
12,0.7983316643388586
13,0.7864942739685803
14,0.774599368124548
15,0.7632135363138061
16,0.7522763301963471
17,0.7423394617639222
18,0.7329632534573844
19,0.7239544079022496
20,0.7150782775140432
21,0.7069325059432973
22,0.6987192854412122
23,0.6907212325377793
24,0.6828360169007651
25,0.6752449688600768
26,0.6676246304543667
27,0.6603003311636405
28,0.65348115596193
29,0.646634121274409
30,0.6402288307602766
31,0.6342238709032774
32,0.6285573272983345
33,0.6232043776743311
34,0.6181573108859851
35,0.6129632008678771
36,0.6079260144008345
37,0.6026355607243529
38,0.59743670265253
39,0.5921316518214
40,0.5870853839576422
41,0.5822794145635872
42,0.5776969786297208
43,0.5730133425726951
44,0.5684385824673595
45,0.5640627249752993
46,0.5598730741850289
47,0.5556539887137909
48,0.5516071108128074
49,0.5477221080278635
