,precision,recall
0,1.0,0.03183352844074678
1,0.9746257035134692,0.062051550103757715
2,0.9508496803453363,0.09080670102644474
3,0.9267799573793781,0.11801070452620209
4,0.9041063329872685,0.14390447332304743
5,0.8820874997723257,0.16847974506737728
6,0.8595607578040232,0.19153996281072957
7,0.8366721763838042,0.21307382017996268
8,0.8163154411720064,0.23387580731852836
9,0.7956969564504672,0.253298416933816
10,0.7757636194743457,0.2716482256821657
11,0.7576566854270258,0.28942662772635797
12,0.7402853143796262,0.306356616924423
13,0.7240265949557791,0.3226764968333458
14,0.7080769721144564,0.33810882645065116
15,0.6926081566581062,0.3527705832523043
16,0.677655030101216,0.36672656145361693
17,0.6639816282048947,0.38046380482068964
18,0.6508933938036173,0.39368443390729124
19,0.638572345773455,0.4065602186130733
20,0.6270539470911035,0.41918813283075057
21,0.6164870523717035,0.43174907853058897
22,0.6061839101213286,0.44383037309291923
23,0.595815005555252,0.4552054541944035
24,0.5862756133544615,0.4665805352958878
25,0.5765973275945409,0.47723331309782446
26,0.5674108073430515,0.4876925779748372
27,0.5581837838681727,0.4975308620500716
28,0.5494075130622219,0.5071978110861598
29,0.541216326976668,0.516864760122248
30,0.5335536045095367,0.5265317091583361
31,0.5263698021966012,0.5361986581944244
32,0.5196213818420256,0.5458656072305126
33,0.5127303393900045,0.5549485386077854
34,0.506118322964397,0.5639036209964567
35,0.4996983316030089,0.5726577978316115
36,0.49362536680169594,0.5814119746667664
37,0.48759774415548185,0.5898343529362651
38,0.4818792303629198,0.5982567312057638
39,0.4764466422599858,0.6066791094752625
40,0.4705627174844504,0.6141665376580501
41,0.46469520270815284,0.62130129397092
42,0.4591005955958691,0.62843605028379
43,0.45376028880687097,0.6355708065966599
44,0.44865732898627275,0.6427055629095298
45,0.44377623698396146,0.6498403192223998
46,0.43910285102430163,0.6569750755352698
47,0.4346241894796277,0.6641098318481398
48,0.43032833044698127,0.6712445881610097
49,0.42620430577564067,0.6783793444738797
