,precs_all_hard
0,1.0
1,0.9746257035134692
2,0.9508496803453363
3,0.9267799573793781
4,0.9041063329872685
5,0.8820874997723257
6,0.8595607578040232
7,0.8366721763838042
8,0.8163154411720064
9,0.7956969564504672
10,0.7757636194743457
11,0.7576566854270258
12,0.7402853143796262
13,0.7240265949557791
14,0.7080769721144564
15,0.6926081566581062
16,0.677655030101216
17,0.6639816282048947
18,0.6508933938036173
19,0.638572345773455
20,0.6270539470911035
21,0.6164870523717035
22,0.6061839101213286
23,0.595815005555252
24,0.5862756133544615
25,0.5765973275945409
26,0.5674108073430515
27,0.5581837838681727
28,0.5494075130622219
29,0.541216326976668
30,0.5335536045095367
31,0.5263698021966012
32,0.5196213818420256
33,0.5127303393900045
34,0.506118322964397
35,0.4996983316030089
36,0.49362536680169594
37,0.48759774415548185
38,0.4818792303629198
39,0.4764466422599858
40,0.4705627174844504
41,0.46469520270815284
42,0.4591005955958691
43,0.45376028880687097
44,0.44865732898627275
45,0.44377623698396146
46,0.43910285102430163
47,0.4346241894796277
48,0.43032833044698127
49,0.42620430577564067
